Cliente,Marca
BDF México,Nivea Men Invisible for Black & White
BDF México,Nivea Body Aclarado Natural
Beam Global Spirits & Wine,H
BDF México,Nivea Black & White
BDF México,Nivea Cuidado Nutritivo
Best Buy,Best Buy
Best Day,Bestday.Com.Mx
Best Day,BestDay.com
BEXEL Internacional,Pasta Blanca
Binney & Smith México ,Crayola Toys
BMW De México,"Mini Cooper / Mini Cooper ""S"""
BMW De México,Mini
Bombardier Recreational Products BRP,Can Am
Bristol Myers Squibb De México,Sal De Uvas Picot
British Airways,British Airways
Cadbury Adams,Halls Sugar Free
Cadbury Adams,Trident Splash
Cadbury Adams,Chiclets Infinity
Cadbury Adams,Halls
Cadbury Adams,Trident Xtracare 
Campbell´s de México ,V8 Splash
Canacine,Premios Luminus
Canal Sony,"Reality Show, Mexico´s Next Top Model, 5a Temporada"
Carlo Boutagy,F1 Fanzone
Casa Cuervo,Tequila 1800
Casa Cuervo,Tequila Tradicional
Casa Cuervo,José Cuervo Especial
Casa Cuervo,Imagina Cuervo
Casa Cuervo ,Tequila Don Julio
Casa de la Amistad para Niños con Cáncer I.A.P.,Casa de la Amistad para Niños con Cáncer I.A.P.
Casa Pedro Domecq,Presidente
Castrol,Castrol GTX
Cemex,Construganas
Cemex,Cemex
Cemex,Cemex Pavimentos
Nestlé,Cereal Nestlé Fitness
Nestlé,Cereal Fitness De Nestlé
Cervecería Cuauhtémoc Moctezuma Heineken® ,Tecate Light
Cervecería Cuauhtémoc Moctezuma Heineken® ,Cerveza Carta Blanca
Cervecería Cuauhtémoc Moctezuma Heineken® ,Heineken®
Cervecería Cuauhtémoc Moctezuma Heineken® ,Tecate
Cervecería Cuauhtémoc Moctezuma Heineken® ,Cerveza Dos Equis
Cervecería Cuauhtémoc Moctezuma Heineken® ,Bohemia
Cervecería Cuauhtémoc Moctezuma Heineken® ,Sol
Cetco - Belcorp,L'Bel
Fiat Chrysler Automóviles México,Dodge Journey
Fiat Chrysler Automóviles México,Jeep Grand Cherokee
Church & Dwigth,Trojan
Cigarrera la Moderna,Camel
Cinemex,Cinemex
Cinépolis,Club Cinépolis
Cinépolis,Cinépolis Klic
Cinépolis,Cinépolis
Cisco Systems de México,Cisco Live 2014
Cisco Systems de México,Cisco Live
Clorox De México,Armor All
Clorox De México,Clorox De México
The Coca-Cola Company,Gladiator
The Coca-Cola Company,Powerade
The Coca-Cola Company,Sidral Mundet
The Coca-Cola Company,Trade Mark
The Coca-Cola Company,Coca-Cola
The Coca-Cola Company,Santa Clara
The Coca-Cola Company,Fanta
The Coca-Cola Company,Senzao
The Coca-Cola Company,Ciel
Colgate Palmolive,Suavitel
Comercial Hecal,Outlast de Cover Girl
Roshfrans,Roshfrans
Comercializadora De Lácteos Y Derivados,Lalacult
Comercializadora De Lácteos Y Derivados,LALA
Comex,Comex
Comité Nacional Sistema Producto Camarón de Altamar,Camarón Mexicano de Altamar
Compartamos Banco,Crédito 
Compartamos Banco,Institucional
Compartamos Banco,Compartamos Banco
AT&T,NEXTEL
Conagra Foods México ,"Actll®, Palomitas para microondas / Botanas  "
Consejo de Promoción Turística de México,Institucional
Consejo de Promoción Turística de México,Turismo
Consejo De Promoción Turística De México,México
Consejo De Promoción Turística De México,Consejo De Promoción Turística De México
Consejo De Promoción Turística De México,"Destino, Acapulco"
Continental Tire De México,Continental
Copamex Comercial,Regio
Coppel,Coppel
Correos de México,Servicio Postal Mexicano
Coty México,Playboy
CPW México,Cereal Fitness De Nestlé
CPW México,Cereal Cheerios
Crayola México,Crayola
Danone,Activia
Danone,BeneGastro
Danone,Activia De Danone
Danone,Danup
Danone,Danup Mango
Danone,Danonino
Danone,Oikos
DHL Express,DHL Express
DHL Express,DHL
Diageo,Black & White
Diageo,Buchanan´s
Diageo,Tanqueray
Diageo,Baileys
Diamond Films / Alebrije Cine,Qué culpa tiene el niño
Dirección De Comunicación Sedena,Ejército Y Fuerza Aérea Mexicanos
Alsea,Dominator D4
Alsea,Pide En Línea
Alsea,Domino's Pizza México
Mars,Milky Way
Mars,Pedigree®
El Palacio de Hierro,El Palacio de Hierro
Eli Lilly,Cialis
Eliot New Media,FC
Ernest & Julio Gallo,Boone´s
Expedia México,Expedia.mx
Expedia México,Hoteles.Com
Famsa México,Famsa
Ferrero Rocher,Nutella
Ferrero Rocher,Kinder Sorpresa
Ferrero Rocher,Ferrero Rocher
Fiat Chrysler Automóviles México,RAM 700
Ford Lincoln,Lincoln MKX
Ford Motor Company,Ford Lobo
Ford Motor Company,Ford Motor Company
Ford Motor Company,Ford Fiesta
Ford Motor Company,Ford Lobo 2004
Ford Motor Company,Ford Ecosport
Ford Motor Company,Ford Escape
Ford Motor Company,Ford Explorer
Ford Motor Company,Ford Ecosport
Ford Motor Company,Ford Ikon
Ford Motor Company,Ikon
Frabel,Preference
Frabel,Elvive Liss Intense
Frabel,Garnier Bodytonic
Frabel,Garnier Fructis
Frabel,100% Color De Garnier
Fundación Teletón,Fundación Teleton
Gamesa,Emperador
Gamesa,Mamut
Alpura,Alpura Cuartitos
Garnier,Obao
General Motors De México,Chevrolet
General Motors De México,Terrain GMC Denail
General Motors De México,Chevrolet Tracker
General Motors De México,Chevrolet Astra
General Motors De México,Chevrolet Cheyenne
General Motors De México,Chevrolet Sonic
General Motors De México,Chevrolet Aveo
General Motors De México,Chevrolet Silverado 
General Motors De México,Chevy C2
General Motors De México,Chevrolet Chevy C2S
General Motors De México,Hummer H3
General Motors De México,Matiz G2
General Motors De México,Buick
General Motors De México ,Pontiac Matiz G2
General Motors De México,Cadillac
General Motors De México,GMC
General Motors De México,Buick
General Motors De México,Cadillac
General Motors De México,Onstar
General Motors De México,Chevrolet Spark
General Motors De México,Chevy
Georgia Pacific Tissue De México,Angel Soft
GSK México,Oxy
GSK México,Astringosol Ice
Bimbo,Cajeta Coronado
Bimbo,Tía Rosa
Bimbo,Osito Bimbo
Bimbo,Gansito Marinela
Bimbo,Tía Rosa
Bimbo,Panes Bimbo
Bimbo,Rocko De Marinela
Bimbo,Coronado
Bimbo,Bimbo
Bimbo,Pan Blanco Bimbo
Bimbo,Medias Noches Bimbo
Bimbo,Chókolo
Bimbo,Napolitano
Comex,Top Impermeabilizantes
Grupo Danhos,Toreo Parque Central
Danone,Bonafont
Grupo Diltex,Ilusión
Grupo Editorial Milenio,Milenio Diario
Grupo Financiero Banorte,Seguro Fórmula Auto Banorte
Grupo Financiero Banorte ,Banorte
Grupo Financiero Banorte ,Seguros Banorte General
Grupo Financiero Santander México,Autocompara Santander
Grupo Financiero Santander México,Súper Fondo 1 Santander Serfín
Grupo GEPP,Limonada 7Up®
Grupo GEPP,Pepsi® Regular
Grupo GES,Tiendas GES
Grupo Herdez,Herdez
Grupo Hotelero Fibra Inn,Grupo Hotelero Fibra Inn
Diageo,Don Julio 70
Grupo Lala,Lala
AB InBev-Grupo Modelo,Cerveza Victoria
AB InBev-Grupo Modelo,Modelo Especial
AB InBev-Grupo Modelo,Modelo Negra 
AB InBev-Grupo Modelo,Modelo Ambar
Grupo Nacional Provincial,GNP Seguros
Grupo Nacional Provincial,GNP
Grupo Nacional Provincial,Grupo Nacional Provincial
Peñafiel,Naranjada y Limonada
Grupo Roche Syntex de México,Xenical
Grupo SSC inmobiliaria,Álamo Residencial
Grupo Warner Lambert de México,Chiclet's
Grupo Warner Lambert de México,Bubbaxtreme
GSK México,Emulsión de Scott
Heartland Foods,Splenda®
HEB,HEB
Heinz México,Papillas Heinz
Hellofood México,Hellofood
Henkel Capital,Más Color
Henkel Capital,Bref
Henkel Capital,Persil
Hershey´s México,Pelon Pelo Rico
Hershey´s México,Hershey´s
Hewlett-Packard De México,HP Laserjet
Hewlett-Packard De México,HP Workstation
Hewlett-Packard De México,HP Laserjet
Hewlett-Packard De México,HP Beats Edición especial
Homex,Homex
Honda de México,HR-V
Honda de México,Honda Fit 2015
Hoteles.Com,Hoteles.Com
HSBC,HSBC
HSBC,Tarjetas de crédito y cuentas
HSBC,HSBC Seguros
The Coca-Cola Company,Powerade
IBM,IBM Cloud
IBM,SoftLayer
Idealease de México,Ready to Rent
Industrias AlEn ,Eficaz
Industrias AlEn,Cloralex
Infonavit,Infonavit
Instituto Mexicano Del Seguro Social,PrevenIMSS
Instituto Nacional De Las Mujeres,Instituto Nacional De Las Mujeres
Instituto Nacional De Las Mujeres,Inmujeres
Interjet,Interjet
Alsea,Italianni´s
Izzi Telecom,Izzi negocios
Izzi Telecom,Izzi
J. García López Casas Funerarias,J. García López Casas Funerarias
Jack Daniel´s,Jack Daniel´s
JAFRA,JAFRA U
Jaguar,Jaguar X-Type
Jaguar,Jaguars Cars-S-Type
Johnson & Johnson,"Splenda, Endulzante Sin Calorías"
Johnson & Johnson,Listerine Whitening
Johnson & Johnson,Listerine Agente Cool Blue
Johnson & Johnson,Listerine
Johnson & Johnson,Lubriderm Reparación Intensiva
Cementos Moctezuma,Cementos Moctezuma
Kellogg's Company México,All-Bran Flakes
Kellogg's Company México,Special K
Kellogg's Company México,Choco Krispis
Kellogg's Company México,Kellogg´s + Pringles
Kellogg's Company México,Zucaritas
Kellogg's Company México,Kellogg´s
Kellogg's Company México,Kellogg´s Granola
Kellogg's Company México,Froot Loops
Kellogg's Company México,Corn Pops
Kentucky Fried Chicken ,Popcorn Chicken
Kentucky Fried Chicken ,KFC
Kimberly Clark,Kleenex Cottonelle
Kimberly Clark,Kotex Control
Kimberly Clark,Kotex Free & Soft
Kimberly Clark,Kleenex
Kimberly Clark,Kleenex Bote
Kimberly Clark,Kotex Únika
Kraft Foods,Frisco
Kraft Foods,Clight Teas
Kraft Foods,Philadelphia
Kraft Foods,Rebanadas Philadelphia
L'Oréal ,Elvive
Grupo Lala,Natural´Es
Grupo Lala,Quesos Lala
Grupo Lala,Postres Lala
Landsteiner Scientific,Elite Medical
Lemon Films,Video Cine
Lenovo México,Lenovo
LG Electronics México,LG Electronics México
LG Electronics México,Refrigeradores LG
Librerías Gandhi,Librerías Gandhi
Ford Lincoln,Lincoln MKC
Liverpool,Liverpool
L'Oréal ,Garnier Fructis Vitaminados
L'Oréal ,BB Cream De Garnier
L'Oréal ,Garnier Nutrisse
L'Oréal ,Garnier bí-O Dry Cream
L'Oréal ,Garnier 100% Color
L'Oréal ,Elvive Óleo Extraordinario de L'Oréal Paris
L'Oréal ,Imedia Excellence
Loren Rabell,Listerine
Mabe,Mabe
Mabe,Easy
Manantiales La Asunción,Sta. María
MAPFRE ,MAPFRE
Nestlé,Nescafé Clásico
Nestlé,Nescafé Dolce Gusto
Nestlé,Nescafé
Nestlé,Nestlé Purina Pet Care
Nestlé,Helados Nestlé
Nestlé,Campaña Corporativa (Multiproducto)
Mars,Lucas
Mars,Snickers
Mars,Whiskas® 
Mars,Twix
Mattel ,My Scene
Mattel ,Mattel
Mattel ,Hot Wheels 
Mazda ,Mazda2
McCormick ,Mayonesa McCormick
McDonald's México,Mi Menú 2003
Mead Johnson Nutricionales México,Chocomilk
Metlife México,Metlife México
Miescape.mx,Miescape.mx
Mondelēz,Trident
Mondelēz,Queso Philadelphia
Mondelēz,Cloret's
Mondelēz,Bubbaloo
Motorola De México,Motorola
Motorola De México,Motorola V300 Motoestilo
Motorola De México,Moto X-Force
Telefónica Movistar,Plan vas a volar 4G LTE
MP Marketing Group,MP Marketing Group
Museo Memoria Y Tolerancia,Museo Memoria Y Tolerancia
Museo Memoria Y Tolerancia,Postea Por La Paz
Nestlé,Cajetoso
Nestlé,Nestlé Capuchino
Nestlé,Coffee-Mate De Nestlé
Nestlé,Nestlé Nutri Rindes
Nestlé,NIDO Kinder
Nestlé,Carnation
Nestlé,Coffee-mate
Nestlé,Unidos por niños saludables
Nestlé,NIDO
Nestlé,Gerber Yogolino
Nestlé,MAGGI Jugoso al Sartén
Nestlé,Gerber® 
Nestlé,Nescafé
Nestlé,Nescafé 3 en 1
Nestlé,Crunch
Nestlé,Jugos GERBER®
Nestlé,Sin Parar
Nestlé,Yogurt Svelty
Nestlé,Nescafé Clásico
Nestlé,Nescafé Decaf
Nestlé,Nescafé
Nestlé,Nestlé Seducción
Nestlé,Nescafé Decaf
Nestlé,Nan 3 Crecimiento
Nestlé,Carlos V
Nestlé,Nescafé Dolce Gusto
Nestlé,Campaña Institucional
Nestlé,Pela Pop
Nestlé,Nescafé Clásico
Nestlé,Nestlè Carnation Clavel
Nestlé,Purina Dog Chow
Nestlé,Beneful Adulto
Nestlé,Productos de consumo masivo (Multimarca)
Nestlé,Perrier
Netflix,Netflix
NFL México,NFL
NFL México,Liga Nacional De Futbol Americano NFL
Nike,Nike
Nissan,Nissan Versa
Nissan,Nissan Marca
Nissan,NP300 Frontier
Nissan,Nissan UCL
Nissan,Titan 
Nissan,Frontier Pro-4X 2014
Nissan,Nissan Juke
Nissan,Nissan Tsuru
Nissan,Nissan Camiones
Nissan,Nissan Pathfinder
Nissan,Nissan Sentra
Nokia,Nokia  
Novartis Farmacéutica,Lamisil
OCC Mundial,ExpoCityOCC
Oficina De Visitantes Y Convenciones De Cancún,Cancún
Osborne ,Brandy Magno
Oswaldo Chávez,Andanza
Procter & Gamble,Zest
Procter & Gamble,Metamucil
Procter & Gamble,Downy
Procter & Gamble,Todos los productos de higiene y cuidado personal de P&G
Procter & Gamble,P&G
Procter & Gamble,Ace MB
Paramount Pictures,Paranormal Activity: The Ghost Dimension
Bimbo,ChocoRoles Marinela
PAYBACK,PAYBACK
Pegaso PCS,Pegaso
Peñafiel ,Peñafiel Agua Mineral
PepsiCo ,Marías Gamesa
PepsiCo ,Pepsi
PepsiCo ,Pepsi Retro
PepsiCo ,Pepsi Cola
PepsiCo ,Pepsi Kick
PepsiCo ,Quaker
PepsiCo ,Doritos
PepsiCo ,Cheetos
PepsiCo ,Kacang de Sabritas
PepsiCo ,Emperador
PepsiCo ,PepsiCo México Foods
PepsiCo ,Sabritas
Pernod Ricard,Ballantine´s
Pfizer Consumer Healthcare,Listerine Natural Citrus
Philips Mexicana,Philips HealthCare
PINSA Comercial,Atún Dolores
Comex,Pintura Prima 
Playcity,Play City
Comex,Vinimex Total
Procter & Gamble,Koleston
Procter & Gamble,Covergirl
Procter & Gamble,Ariel
Procter & Gamble,Ace
Procter & Gamble,Motif
Procter & Gamble,Salvo Polvo
Procter & Gamble,Zest
Procter & Gamble,Herbal Essences
Procter & Gamble,Always
Procter & Gamble,Mach3Turbo
Procter & Gamble,Pepto-Bismol
Procter & Gamble,Salvo®
Procter & Gamble,Naturella
Procter & Gamble,Gillete Mach 3 Sensitive
Procter & Gamble,Olay
Productos Internacionales Mabe,Kiddies
Productos Internacionales Mabe,Classic
Productos Internacionales Mabe,Affective
Productos Internacionales Mabe,Kiddies
Pronósticos Para La Asistencia Pública,Tris
Quala México,Savilé
Quala México,EGO
Reckitt Benckiser México,Sal de Uvas Picot
Reckitt Benckiser México,Tempra
Renault México,Duster
Revista Quién ,Quién
Rotoplas,Rotoplas
Saba,Saba Teens
Saba,Saba Confort Manzanilla
PepsiCo ,Gudupop
PepsiCo ,Línea De Papas Sabritas
PepsiCo ,Doritos Rólalas
PepsiCo ,Ruffles
PepsiCo ,Doritos®
Sanofi Aventis,Icyhot
Sanofi Aventis,Melox Plus
SCA ,Regio R3
Schering Plough,Yasmín
Schering Plough,Afrín
Schering Plough,Coppertone Spectra 3
Schering Plough,Lertamine
Scribe,Scribe
Sealy Matress,Sealy Posturepedic
Seat,Toledo
Secretaría De Salud,3ª Semana Nacional De Salud 2005
Segundamano.mx,Segundamano
BBVA Bancomer,Autoseguro
Seguros ING,ING
Sigma Alimentos,Yoplait Mini
Sigma Alimentos,La Villita
Sky,VeTV / Sky
Smithkline Beecham México ,Niqüitin
Sony Entertainment Television,Canal Sony
Sorteos Del Trébol,Sorteos Del Trébol
Sportsya.com/Universal Networks,Sports ya.com
Spotify,Spotify
Stafford Miller,Nytol
SURA México,Afore
Telcel,Marca de telefonía celular
Telcel ,Telcel
Telefónica Movistar,Movistar
Telefónica Movistar,Telefónica Movistar
Televisa,Televisa Series
Televisa ,Primer Amor a 1000 x Hora 
Telmex,Infínitum
Telmex,Telmex
Tequila Herradura,Herradura Ultra
The Coca Cola Company,Gladiator
The Coca- Cola Company,Ciel
The Coca-Cola Company,Total portafolio
The Coca-Cola Company,Delaware Punch 
The Coca-Cola Company,Fuze Tea
The Coca-Cola Company,Sprite
The Coca-Cola Company,Manzana Lift Verde
The Home Depot,The Home Depot
Toyota Motor Sales,Toyota
Turner,Gotham
Twinings/ACH Foods,Twinings
Tyson,Tyson
Unilever,Maizena
Unilever,St. Ives
Unilever,Dove
Unilever,Mordisko
Unilever,Pond´S Crema C Fórmula Original
Unilever,Mi Arroz De Knorr
Unilever,Rexona
Unilever,Sedal
Unilever,Pond´S Clarant B3
Unilever,Dove Exfoliación Diaria
Unilever,AXE
Unilever,AdeS
Unilever,Crema S De Pond´S
Unilever,Sedal® Anti-Sponge
Unilever,Caldos Knorr
Unilever,Knorr Sopas
Unilever,Sedal® Caída Defense
Unilever,Sedal® Formas
Unilever,Dove® Pro-Age .Unilever México
Unilever,Pond’s
Unilever,Magnum
Vicky Form,Vicky Form
Videocine,Película: No Se Aceptan Devoluciones
Videocine ,Película: Mundo Cantinflas
Videocine / Lionsgate,The Hunger Games: Mockingjay Part 2
VISA,VISA
VISA,Visa Platinum
VISA,Visa Outbound
VISA,Visa Patrocinio
Visión Prendaria,Megaempeños
Volaris,Volaris
Volkswagen,Volkswagen
Volkswagen,Gol
Volkswagen,Clásico 
Volkswagen,Vento
Volkswagen,Passat
Volkswagen,Vw Jetta 2011
Volkswagen,VW Jetta
Walmart Supercenter,Bodega Aurrera
Walmart Supercenter,Walmart Supercenter
Warner Bros. Pictures ,"Película, El Hobbit, La batalla de los cinco ejércitos"
Warner Bros. Pictures ,Película: Nosotros Los Nobles
Whitehall Robins ,Preparación H
Whitehall Robins ,Caltrate
Wibe,Wibe
Mars,Skittles
Wyeth,Centrum
Wyeth,Chapstick
Yb Operadora,Kfc
York International,York Aire Acondicionado y Calefacción
Yum! Restaurants International,"Kentucky Fried Chicken, Megabox"
